SYMBOL	FC
Olfr458	1.893866282
A530040E14Rik	1.893791555
Trbj2-7	1.890417752
Ccdc183	1.890377163
Atf3	1.888652733
Tnfrsf11b	1.887742489
Ntn4	1.880809817
Traf1	1.879640653
NA	1.877395157
Gm16316	1.876978239
Lrrn2	1.874226723
3110015C05Rik	1.870484585
Krt90	1.87026923
Spink5	1.869992644
Hoxb8	1.869982072
Ppp1r10	1.868351254
Gfra2	1.867209902
Ftcd	1.867028663
Krt13	1.864750755
S100a7a	1.863733238
Nuggc	1.862085343
F630042J09Rik	1.85919898
Gm4419	1.859191121
Cyp2d9	1.858893954
Snord17	1.858827645
Ifit3b	1.852060691
Rhobtb1	1.848156969
Maats1	1.847551041
Gm5535	1.84538917
Gal3st1	1.841689411
Tnfsf18	1.840406515
Saxo2	1.834515198
1700013G24Rik	1.826146009
Oas1b	1.824882778
Vwa7	1.823491117
Gm8801	1.8207085
Dmpk	1.810518975
Casq2	1.808551236
Fdps	1.808427411
Synpo2	1.803635623
Hoxd10	1.802597346
Gprin3	1.787420524
Sema5b	1.774199027
D430019H16Rik	1.774188018
Myt1l	1.772280669
BC025920	1.771618669
Smim18	1.769646643
Serpinb12	1.766749689
Myadm	1.764538574
Gm13032	1.763697384
Plac9a	1.76017457
Lipk	1.753407622
Rgs18	1.746409506
Tnc	1.743030489
Zfp677	1.738738377
Gm11454	1.738116272
6030452D12Rik	1.737665538
Npr3	1.737567783
Zfp300	1.733452704
Loxl4	1.733063039
NA	1.730172232
Gm16897	1.728160084
Wap	1.727144787
Slc22a1	1.726039484
Mtmr11	1.724683356
G630025P09Rik	1.723668707
Nupr1l	1.721127388
Idi1	1.719524349
Oas1h	1.719428002
Gm10782	1.717042685
4833427G06Rik	1.716963505
4930405J17Rik	1.714780087
B3gnt6	1.710297926
A930033H14Rik	1.710020246
9930111J21Rik2	1.702868851
Asmt	1.700244538
Tnfaip8l2	1.696424879
Kctd21	1.696029847
Fam71a	1.69477358
Trp53cor1	1.692381843
Tekt4	1.692128924
Kctd19	1.69204186
Rasl12	1.691157412
Gsdmc3	1.686170073
Themis2	1.686060732
Lrrc66	1.685765101
Chil6	1.685170839
