EntrezGeneID	Basal.Preg	Basal.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM	MCL1.LC CPM	MCL1.LD CPM	MCL1.LE CPM	MCL1.LF CPM
78825	0	-0.381677173466302	0.0808077495091623	5.24336943592206	0.0165992003204552	845	588	487	446	1903	1483	627	532	35.061	25.943	22.620	22.283	85.560	67.445	25.360	21.576
69221	0	-0.308068501123315	0.0808101799485559	5.25989737098024	0.0166056460875192	1317	1314	864	954	1159	1037	372	387	54.646	57.974	40.131	47.663	52.110	47.162	15.046	15.695
246103	0	-0.32144345583416	0.0808101799485559	6.42129328076524	0.0166034983021223	3948	3304	2722	2228	1929	1762	652	612	163.812	145.773	126.432	111.314	86.729	80.134	26.371	24.820
18196	0	-0.431238579945136	0.0808553188231531	3.18345143920859	0.0166208714914072	535	545	349	337	20	16	22	23	22.198	24.045	16.210	16.837	0.899	0.728	0.890	0.933
215900	0	-2.64554129534027	0.0808553188231531	-1.90279525592344	0.0166196233672674	6	3	0	1	12	9	1	2	0.249	0.132	0.000	0.050	0.540	0.409	0.040	0.081
21411	0	0.3091231563928	0.0808565707137687	5.67392681692378	0.0166263965635492	1285	1017	1283	1145	1672	1561	724	755	53.318	44.870	59.593	57.206	75.174	70.992	29.283	30.620
75273	0	-0.397082304371268	0.0808565707137687	4.74649591438128	0.016627078763724	787	595	460	432	947	609	498	533	32.655	26.252	21.366	21.583	42.578	27.697	20.143	21.616
11480	0	0.337662874441648	0.0808611569900056	5.01422585704662	0.0166309970040889	1051	921	947	1176	681	682	364	355	43.609	40.635	43.987	58.755	30.618	31.017	14.723	14.397
245049	0	-1.38360205194869	0.0809854245922345	1.81456785202524	0.0166595352623416	45	18	3	17	316	171	23	44	1.867	0.794	0.139	0.849	14.208	7.777	0.930	1.784
76877	0	0.53641303339473	0.0809966225971651	0.649976483371354	0.0166663990510683	52	56	65	69	7	10	10	13	2.158	2.471	3.019	3.447	0.315	0.455	0.404	0.527
100503676	0	0.767594943045357	0.0809966225971651	1.35238578789469	0.0166677990428619	28	39	41	57	72	75	64	66	1.162	1.721	1.904	2.848	3.237	3.411	2.589	2.677
192232	0	0.455853760781027	0.081263772883441	3.71084745579012	0.0167257642117064	371	263	321	416	373	310	180	192	15.394	11.604	14.910	20.784	16.770	14.098	7.280	7.787
18037	0	-0.434509814568469	0.0812974626446966	4.47607834427802	0.0167356894476279	957	591	448	519	946	716	126	104	39.708	26.075	20.809	25.930	42.533	32.563	5.096	4.218
57423	0	-0.303622119091914	0.0815507921278449	5.86805830293107	0.0167908397199095	1337	1274	968	842	1565	1457	1400	1341	55.475	56.209	44.962	42.068	70.364	66.263	56.626	54.386
19303	0	-0.618774993872893	0.081720243913063	7.91456879725539	0.0168287356113696	11310	10512	6464	5689	6248	6525	1317	1106	469.280	463.791	300.242	284.231	280.915	296.750	53.268	44.855
72338	0	-0.958117440291552	0.0817564285145777	-0.967953963592254	0.0168391952178007	27	12	10	7	2	10	9	3	1.120	0.529	0.464	0.350	0.090	0.455	0.364	0.122
70454	0	0.445457885540905	0.081766756825318	3.32288308775854	0.0168473394246212	401	378	468	439	110	67	55	51	16.638	16.677	21.738	21.933	4.946	3.047	2.225	2.068
56187	0	-0.345178477587165	0.081766756825318	4.72156094284125	0.016845272187603	545	412	298	342	1054	1017	491	528	22.613	18.178	13.842	17.087	47.389	46.252	19.859	21.414
22654	0	0.630403131074243	0.081854884027818	1.56222941954359	0.0168685089753048	95	78	98	130	42	32	32	35	3.942	3.441	4.552	6.495	1.888	1.455	1.294	1.419
22754	0	1.14291659759403	0.0819061824738884	-1.30277102183981	0.0168820940512426	11	8	11	25	0	0	4	1	0.456	0.353	0.511	1.249	0.000	0.000	0.162	0.041
230796	0	0.32031755832187	0.0820653519012331	5.02706585868144	0.0169201373844575	668	620	648	725	1077	1024	596	530	27.717	27.355	30.098	36.222	48.423	46.570	24.106	21.495
227733	0	-0.693538787784186	0.0820653519012331	-0.27854531906309	0.0169209401396118	48	30	25	16	4	12	4	2	1.992	1.324	1.161	0.799	0.180	0.546	0.162	0.081
100038709	0	-1.59342922792205	0.0821057336671989	-1.41744002171338	0.0169322873249439	15	7	1	5	11	4	2	9	0.622	0.309	0.046	0.250	0.495	0.182	0.081	0.365
114679	0	0.476012185847246	0.0822064623764462	5.72797179428696	0.0169587701660491	2127	2901	3008	3034	9	21	16	7	88.254	127.993	139.716	151.583	0.405	0.955	0.647	0.284
108654	0	-0.294997411096552	0.0822064623764462	4.91757131303002	0.0169591094059654	1241	1055	841	755	784	651	278	293	51.492	46.547	39.063	37.721	35.249	29.607	11.244	11.883
69538	0	0.599416608962643	0.0822250247078704	7.38495941581643	0.0169659641105904	7627	7344	10536	8888	345	264	125	119	316.463	324.019	489.379	444.058	15.511	12.006	5.056	4.826
56642	0	1.07719376341724	0.0824515913701925	-0.602209576789572	0.0170157465688734	5	12	16	15	12	7	14	24	0.207	0.529	0.743	0.749	0.540	0.318	0.566	0.973
12192	0	0.422084889299919	0.0824711779803793	10.0901542477822	0.0170228230792129	48376	47680	54205	55935	6824	7012	2849	3645	2007.239	2103.650	2517.728	2794.600	306.812	318.898	115.233	147.826
26415	0	0.351549871453682	0.0826097707036001	4.5581043990856	0.0170544693851098	306	295	299	356	794	770	609	579	12.697	13.015	13.888	17.786	35.699	35.019	24.632	23.482
14719	0	-0.298384118501177	0.0826637061185827	5.98293913527291	0.0170686455990833	2039	1749	1403	1225	1854	1593	998	933	84.603	77.166	65.167	61.203	83.357	72.448	40.366	37.839
12502	0	-4.33619543796695	0.0827893150627862	-2.68635492875138	0.0170980976381898	3	3	0	0	2	1	3	1	0.124	0.132	0.000	0.000	0.090	0.045	0.121	0.041
65255	0	-0.851828987824553	0.0827893150627862	-0.796096270845107	0.0171006738571133	26	25	10	14	9	6	2	1	1.079	1.103	0.464	0.699	0.405	0.273	0.081	0.041
68366	0	0.423861686034532	0.0829152083388714	3.53584201866928	0.0171297286442755	246	209	237	283	192	181	326	320	10.207	9.221	11.008	14.139	8.632	8.232	13.186	12.978
625098	0	0.572625676082877	0.0829439271281081	3.42383398755086	0.0171387135196827	111	137	154	163	281	367	272	327	4.606	6.044	7.153	8.144	12.634	16.691	11.002	13.262
18034	0	-0.683677311166964	0.0829936802215072	7.80322766623998	0.0171520476030835	10695	7709	5249	4478	7897	5947	1681	1285	443.762	340.122	243.807	223.728	355.055	270.463	67.991	52.114
75826	0	-0.316375071001304	0.0831515973581739	6.34234733324163	0.017187743256125	2339	1823	1517	1327	2960	2851	1155	1129	97.051	80.431	70.462	66.299	133.084	129.660	46.716	45.788
231842	0	-0.90074705853713	0.0832511766053257	-0.901754810880887	0.0172113897253514	18	26	11	9	9	9	3	0	0.747	1.147	0.511	0.450	0.405	0.409	0.121	0.000
11569	0	-0.53066373256479	0.083288962958716	6.76622117448619	0.0172222661550456	6274	4903	3704	2884	1675	1523	675	685	260.324	216.321	172.044	144.089	75.309	69.264	27.302	27.781
329366	0	-0.354692770337851	0.0833416730111611	4.18607418491042	0.0172392981959876	1112	1178	746	789	6	4	0	2	46.140	51.974	34.650	39.420	0.270	0.182	0.000	0.081
50523	0	0.336898010430106	0.0833416730111611	5.19070062603227	0.0172368232906009	1623	1680	1779	1796	274	284	71	47	67.342	74.122	82.631	89.731	12.319	12.916	2.872	1.906
66220	0	0.739824988808027	0.0834734496135475	2.24444278101932	0.0172751667713464	35	24	39	45	116	122	194	195	1.452	1.059	1.811	2.248	5.215	5.548	7.847	7.908
56398	0	0.336755482886599	0.0834734496135475	6.19750835499724	0.0172730825855035	1365	1150	1416	1292	2521	2820	1363	1211	56.637	50.738	65.771	64.550	113.346	128.250	55.129	49.113
20102	0	-0.526082831967997	0.0834734496135475	7.04182383796932	0.0172757700458518	4437	3744	2483	2359	4888	4263	1495	1522	184.102	165.186	115.331	117.859	219.768	193.876	60.468	61.726
74051	0	0.323109932841259	0.0837314172010966	4.93601153183167	0.0173322400814367	1016	1087	1160	1097	89	103	558	559	42.156	47.959	53.880	54.808	4.002	4.684	22.569	22.671
75869	0	-0.372537185908648	0.0837933076609886	5.97339499569905	0.0173481343025271	2193	1571	1362	1107	2053	1801	961	777	90.993	69.313	63.263	55.307	92.304	81.907	38.869	31.512
64453	0	0.457071102722502	0.0839934458815902	2.85051518079686	0.0173926602679124	232	231	278	266	107	84	85	77	9.626	10.192	12.913	13.290	4.811	3.820	3.438	3.123
52665	0	0.50612675327654	0.0840641690046771	3.54128543998844	0.0174103980031395	86	86	109	100	190	179	480	560	3.568	3.794	5.063	4.996	8.543	8.141	19.414	22.711
170639	0	-0.823479504125877	0.0840932426225204	-0.978627403449236	0.0174195134465871	17	33	14	10	2	3	0	1	0.705	1.456	0.650	0.500	0.090	0.136	0.000	0.041
