SYMBOL,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF
Bivm,179,110,127,114,140,168,212,200,109,167,97,79
Ercc5,656,585,583,579,693,657,349,379,276,298,155,178
NA,0,0,0,0,0,0,0,0,0,0,0,0
Mettl21e,0,0,0,0,0,0,0,0,0,0,0,0
Gulp1,624,888,717,944,897,865,127,239,185,341,524,616
4930521E06Rik,1,2,2,0,2,1,1,0,3,1,1,1
Col3a1,1349,1844,3202,3285,2083,1713,441,783,723,446,696,763
Col5a2,5409,4982,1597,2337,4816,4891,62,87,79,50,48,59
Wdr75,981,860,917,711,474,442,1002,879,585,441,257,293
Gm5526,5159,4902,9502,10606,10675,8530,1883,2141,1363,1517,635,664
Slc40a1,83,91,22,15,22,34,173,145,48,61,114,133
Gm3852,3,3,1,5,1,2,4,4,7,7,2,2
Stk-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Dnah7b,110,169,79,132,220,185,15,14,3,2,3,8
Dnah7c,10,9,8,4,14,6,2,2,0,0,1,0
Slc39a10,1936,2138,2181,1785,1952,1795,540,526,495,279,438,455
C230029F24Rik,0,0,0,0,0,0,0,0,0,0,0,0
Tmeff2,44,38,9,17,11,12,2,4,1,0,0,1
9330175M20Rik,0,1,0,2,2,1,0,0,0,0,0,0
Cavin2,4060,4455,2493,2833,4721,5195,936,940,276,345,72,65
Nabp1,3147,2577,2107,2327,4323,3718,3021,3927,2145,2581,1410,1433
Gm17767,0,3,3,1,3,7,1,6,15,24,29,26
Myo1b,1603,1908,2129,1670,1817,1767,1636,1750,635,534,155,169
Stat4,3,3,19,30,25,23,31,27,1,0,2,2
Gm3940,0,2,0,2,1,0,1,0,3,5,0,0
Stat1,532,626,1056,894,970,731,837,879,1049,657,783,726
Gls,11098,10148,10106,8413,7574,6460,4644,4909,1947,1925,677,718
Nab1,1947,2088,2836,2360,2980,2602,3106,4049,3715,3491,1275,1112
Nemp2,120,109,92,69,78,115,149,171,42,21,23,15
Mfsd6,1148,1062,868,853,1565,1528,2392,2573,3865,3167,1963,1970
Inpp1,324,278,222,222,242,299,230,224,213,175,113,80
Hibch,351,337,552,550,577,505,399,361,483,497,458,454
1700019D03Rik,51,119,361,321,298,269,8,5,5,6,81,62
Mstn,0,0,0,0,2,0,0,0,0,0,0,0
1700019A02Rik,0,0,2,1,0,0,0,0,0,0,0,0
Pms1,106,118,96,67,65,68,154,140,64,34,59,53
Ormdl1,120,89,53,52,67,72,413,371,266,231,246,228
Osgepl1,117,144,139,139,148,171,100,111,89,70,60,62
Asnsd1,232,217,187,170,123,146,580,618,735,769,403,481
Dnah7a,32,42,15,25,48,49,4,4,2,0,0,0
Stk17b,858,721,1198,832,516,468,317,369,292,223,348,359
Hecw2,90,77,194,158,253,234,19,12,5,4,50,40
Ccdc150,5,1,2,6,3,1,4,5,2,2,0,0
Gtf3c3,277,208,196,183,228,292,259,272,138,134,135,147
Pgap1,232,242,238,240,229,231,307,315,90,93,69,77
Ankrd44,1281,1385,484,549,637,582,256,270,29,48,13,18
Sf3b1,18573,17467,16440,13835,10459,10757,15047,15956,12618,12309,6437,6220
Coq10b,5825,5636,5220,4648,3907,3331,4957,5033,4556,4029,2122,1818
Hspd1,5398,5221,5127,3496,2045,1768,6178,5944,5409,3715,2874,3158
Hspe1,1138,1051,975,712,393,336,1130,1189,1018,716,470,448
Mob4,1208,1084,1239,1152,1377,1209,1344,1452,898,776,491,455
Rftn2,245,268,79,110,83,187,404,298,22,14,109,105
Mars2,235,230,299,216,125,111,264,300,251,175,158,141
Boll,0,0,0,0,0,0,0,2,0,0,1,1
Plcl1,562,1045,1126,962,916,1013,75,67,96,258,878,837
Gm6644,235,146,152,107,90,80,102,96,76,63,61,56
9130227L01Rik,0,0,0,0,0,0,0,0,0,0,0,0
Hsfy2,0,0,0,0,0,0,0,0,0,0,0,0
Satb2,22,21,8,8,2,9,16,16,15,11,14,11
9130024F11Rik,4,5,3,2,0,1,5,6,4,8,2,1
BC055402,0,0,0,0,0,0,0,0,0,0,2,3
4930558J18Rik,8,6,8,9,4,4,10,8,5,2,6,5
1700066M21Rik,65,47,94,70,55,62,48,64,90,37,63,71
Tyw5,190,174,222,197,202,188,222,207,106,80,47,65
Maip1,261,283,300,259,169,171,477,481,411,343,177,180
Spats2l,1238,968,958,1151,1741,1469,364,290,19,43,12,17
Kctd18,167,159,185,177,180,202,163,176,58,76,16,49
Sgo2a,115,102,87,55,23,14,86,91,70,37,111,89
Aox1,537,693,281,435,298,319,213,190,7,33,19,20
Aox3,3,2,2,5,3,3,5,20,19,41,118,143
Aox4,2,0,4,2,2,0,2,8,15,23,1,2
Aox2,0,0,4,3,0,0,8,20,20,16,12,5
Bzw1,7308,7641,7408,5959,4673,3815,6744,7383,5580,4842,2089,2021
Clk1,8421,6773,4161,3781,4822,6623,5909,6132,3033,2588,1941,2384
Ppil3,241,196,241,214,235,210,238,294,241,197,96,86
Nif3l1,259,207,174,123,151,150,321,280,260,207,132,155
Orc2,691,523,421,329,393,365,563,553,447,359,320,314
Gm15834,4,2,3,4,0,2,3,2,1,3,1,1
Fam126b,194,166,188,155,181,186,330,374,318,345,332,303
Ndufb3,477,457,660,630,454,476,733,700,579,571,489,479
Gm20257,40,45,60,60,62,43,56,57,51,38,32,31
Flacc1,3,1,2,4,0,2,0,4,1,0,0,2
Cflar,1726,1999,2552,2479,2614,2111,1047,1315,1444,1581,644,524
Casp8,527,528,315,333,266,290,775,805,553,479,398,359
Trak2,3938,3769,3757,3198,3270,2831,1587,2015,2198,2204,939,931
Stradb,138,112,131,114,197,192,93,89,162,160,98,131
C2cd6,1,0,0,0,1,0,2,1,0,0,0,0
Tmem237,502,429,392,365,291,290,226,236,100,75,28,27
Mpp4,14,22,10,19,11,14,2,2,5,9,0,1
Als2,1259,1491,1660,1519,1583,1132,554,738,588,553,393,404
Cdk15,19,29,60,107,56,32,0,1,0,3,0,0
Fzd7,9624,5400,7854,8459,5579,6912,792,815,345,290,115,110
Gm973,0,6,5,3,7,7,9,24,12,19,0,4
Sumo1,1809,1780,1724,1466,1438,1238,1873,2025,2046,1623,1012,890
Nop58,14863,17215,18013,15650,12093,9593,5854,5874,3822,3320,2774,2552
Snord70,12,4,4,4,7,6,5,3,0,0,2,8
Snord11,7,3,3,1,1,3,0,1,0,1,3,0
Bmpr2,1518,1790,1975,1872,1222,1058,791,818,458,420,172,222
NA,125,122,146,134,121,90,52,60,26,46,14,15
Fam117b,1838,1602,1743,1225,861,749,820,890,1039,854,590,437
Ica1l,39,26,20,14,16,16,6,5,1,0,7,7
Wdr12,286,259,300,195,122,110,266,263,274,175,95,122
Carf,63,87,87,76,109,106,69,68,33,39,27,53
Gm15464,762,932,761,664,452,416,1039,1190,849,707,382,323
Nbeal1,1182,1152,1139,1157,1790,1452,758,692,418,465,317,289
Cyp20a1,328,283,242,231,276,242,489,464,414,318,333,337
Abi2,1091,839,1155,843,933,829,498,477,223,173,42,45
Raph1,1160,1203,1519,1259,1085,1018,1083,1304,1089,983,817,700
NA,342,268,358,318,241,187,467,433,606,586,790,745
Gm11578,7,8,6,6,9,13,5,16,14,11,6,7
Cd28,1,0,2,2,2,1,1,3,0,3,9,13
Gm11579,0,0,0,0,0,0,0,0,0,0,0,0
Ctla4,4,0,3,1,0,1,0,0,0,0,0,0
Icos,1,1,2,0,1,0,0,2,1,0,0,0
9530026F06Rik,0,0,0,0,0,0,0,0,0,0,0,0
Pard3b,477,444,354,323,184,204,441,379,644,525,93,69
Nrp2,869,1176,1167,1510,791,633,182,245,399,284,46,41
4930487H11Rik,4,3,7,4,1,3,1,0,1,2,0,1
Ino80d,1899,1800,1992,1726,1596,1319,1804,2039,1360,1294,611,522
Ino80dos,30,39,35,31,31,28,41,35,21,8,3,10
Gm20342,11,15,11,7,10,12,10,11,4,7,7,0
Ndufs1,1391,1231,1790,1561,1324,1202,1380,1480,1386,1179,1540,1549
Eef1b2,12512,13977,10741,8897,5143,4677,19932,21272,20303,18038,6171,6073
Snora41,51,33,47,56,20,30,38,36,19,15,8,11
Gpr1,23,10,5,5,3,2,6,4,0,0,1,0
Zdbf2,280,311,127,69,28,32,153,75,15,13,2,2
Adam23,24,26,12,16,12,9,1,2,0,1,1,0
Dytn,0,0,0,0,0,0,0,1,1,3,3,1
Mdh1b,0,3,0,0,0,0,2,0,2,3,0,1
Fastkd2,486,329,340,250,293,270,592,584,457,367,278,313
4933402D24Rik,4,1,1,1,2,0,1,4,0,1,0,3
Gm13749,2,0,0,1,1,1,0,2,0,0,0,0
Klf7,340,354,387,430,458,482,383,411,385,364,65,75
Creb1,959,813,781,731,840,824,1140,1089,783,668,332,363
Mettl21a,170,170,200,159,232,221,161,124,63,78,56,74
2810408I11Rik,51,49,22,23,19,16,30,30,56,24,67,65
Ccnyl1,1373,1310,797,705,721,558,335,423,223,160,97,78
Fzd5,3220,2317,1546,1040,1239,1380,1025,1241,2365,1776,638,584
Plekhm3,763,680,362,435,583,646,305,277,107,104,87,63
Akr1cl,0,0,0,0,0,0,0,0,0,0,0,0
Gm8550,21,31,21,18,5,5,27,19,15,19,13,8
Cryge,0,0,0,0,0,0,0,0,0,0,0,0
Crygd,0,0,0,0,0,0,0,0,0,0,0,0
Crygc,0,0,0,0,0,0,0,0,0,0,0,0
Crygb,0,0,0,0,0,0,0,0,0,0,0,0
Cryga,0,0,0,0,0,0,0,0,0,0,0,0
D630023F18Rik,2,4,8,11,5,6,0,1,0,0,0,0
Idh1,617,579,727,927,1311,1420,530,495,336,431,192,220
Pikfyve,670,534,468,453,642,626,557,550,362,334,576,660
Pth2r,1,0,1,1,0,0,1,0,1,0,3,0
Crygf,0,0,0,0,0,0,0,0,0,0,0,0
Map2,2950,3524,3346,3852,2701,2198,2913,2443,787,975,174,194
Gm10558,0,0,2,1,0,0,0,1,0,1,0,1
Unc80,21,50,28,33,2,8,34,64,12,25,7,3
Rpe,563,518,658,549,617,565,719,801,893,717,809,958
Kansl1l,2428,2609,2495,1925,1762,1312,735,778,231,225,136,135
Acadl,2056,2311,2061,2341,1073,823,2018,2415,2506,3029,390,323
NA,8,10,10,5,1,7,9,14,6,7,2,2
Myl1,0,3,1,0,0,0,5,2,0,0,0,0
Lancl1,997,1010,1070,1078,1034,993,831,834,449,379,256,225
Cps1,0,0,0,0,1,0,1,1,1,0,1,0
Erbb4,5,9,6,8,2,3,144,170,207,151,94,51
Gm19335,0,0,0,0,0,0,0,0,0,0,0,0
Ikzf2,489,493,421,384,296,318,330,354,177,205,404,459
Spag16,0,0,0,0,1,1,0,0,0,0,0,0
Vwc2l,0,0,0,0,0,0,0,0,0,0,0,0
Bard1,138,145,74,68,21,23,127,97,62,30,82,55
Abca12,89,104,30,39,21,17,2,0,0,0,0,0
Atic,1471,1034,1224,960,750,754,1655,1435,906,623,459,544
Fn1,1566,1532,644,609,681,407,260,334,112,50,58,83
Apol7d,0,0,0,0,0,0,0,0,0,0,0,0
